synth_market_id,synth_token_address,synth_name,synth_symbol,token_symbol
0,0x09d51516F38980035153a554c26Df3C6f51a23C3,Synthetic USD Token v3,sUSD,sUSD
1,0xC74eA762cF06c9151cE074E6a569a5945b6302E7,Synthetic USD Coin,sUSDC,USDC
3,0x729Ef31D86d31440ecBF49f27F7cD7c16c6616d2,Synthetic Static aUSDC,sStataUSDC,StataUSDC
4,0xEDE1d04C864EeEC40393ED4cb454B85A5ABD071C,Synthetic Coinbase Wrapped BTC,scbBTC,cbBTC
5,0xc302f3f74ec19d0917C7F19Bca6775f7000a292a,Synthetic Coinbase Wrapped Staked ETH,scbETH,cbETH
6,0xFA24Be208408F20395914Ba82Def333d987E0080,Synthetic Wrapped ETH,sWETH,WETH
7,0x3526D453D1Edb105E4e2b8448760fC501050d976,Synthetic Lido Wrapped Staked ETH,swstETH,wstETH
