synth_market_id,synth_token_address,synth_name,synth_symbol,token_symbol
0,0xb2F30A7C980f052f02563fb518dcc39e6bf38175,Synthetic USD Token v3,sUSD,sUSD
2,0x3f3eD1002F55121b8213182f09d4BE544E08B9F9,Synthetic Ethena USD,snxUSDe,nxUSDe
