synth_market_id,synth_token_address,synth_name,synth_symbol,token_symbol
0,0xb2F30A7C980f052f02563fb518dcc39e6bf38175,Synthetix USD,sUSD,sUSD
2,0xE81Be4495f138FAE5846d21AC2cA822BEf452365,Synthetic USD Coin,sUSDC,USDC
3,0xFA86aB03412Ab63Fea238d43D1E839c4F7A80232,Synthetic Bitcoin,stBTC,BTC
4,0x3Ec3FedA50b718b5A9ff387F93EeA7841D795B1E,Synthetic Ether,sETH,ETH
5,0xE3eE09c200584228F7C45d50E12BcC3fb65c19Ca,Synthetic USDe,sUSDe,USDe
6,0x7301a8DBd293b85A06726aE12E433a829ba3B871,Synthetic Wormhole SOL,swSOL,SOL
