synth_market_id,synth_token_address,synth_name,synth_symbol,token_symbol
0,0xe487Ad4291019b33e2230F8E2FB1fb6490325260,Synthetix USD,sUSD,sUSD
1,0x88DCcaae7872377f80c59cf3c04865741fDbaffF,Synthetic DAI,sDAI,DAI
2,0xB3A0E9e0699b82b1F33A03fFf38e72513c2Dc933,Synthetic USD Coin,sUSDC,USDC
4,0x726cFb7f07231D8dBfE993c3A8b09D933CaeE78b,Synthetic Bitcoin,sBTC,BTC
5,0x711d4F22CC39223a7273E45537c9d371E66A8a40,Synthetic Ether,sETH,ETH
7,0xD58A253022fE19693abC61e041C88F32b51C7Cbf,Synthetic USDe,sUSDe,USDe
8,0xDE0a47cf02bd6c4cf5Dc30A059656c26A10D01B8,Synthetic SOL,sSOL,SOL
