token_address,token_symbol,yield_token_symbol
0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,WETH
0x912CE59144191C1204E64559FE8253a0e49E6548,ARB
0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USDC
0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,USDe
0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,weETH,
0x5979D7b546E38E414F7E9822514be443A4800529,wstETH,
0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,sUSDe,USDe
