distributor_address,token_symbol,synth_token_address,reward_type
0xA28719DDDa6e129d5E8fd470A17Cd075cEf5d25A,fUSDC,,incentive
0x49ECf205E6F7990e376FC64442d7d7faDe3d70f3,SNX,,incentive
0xe51a5cEBFE24B6f50Cbf89B3F8B33d252E10FE3A,cbBTC,0x410EecB4b4CF7175352a472572492C1c9997a5e8,liquidation
0x0148f0c84F6C44cfF24450d70BfdaBB9f46c69cf,cbETH,0x1c6dfe3205334Fece6a9169c88bF698Ed4370107,liquidation
0x4f908d36EC7A887b161B8745E8eA8aCBd60DB935,WETH,0x86B35F1b900B15C98049f68f4248815518e71985,liquidation
0x517a744c28f26044c5D049125992E5d139b52284,wstETH,0x5dc2592d23f72833c559ACB35c7122995EA80486,liquidation
0x961f69e073350D4ff7d24ce31127A79FA1B5416F,SNX,,incentive
0x86771CAc78a8Ce62CBCFAD639dFdeB9443856fAb,USDC,0x8069c44244e72443722cfb22DcE5492cba239d39,liquidation
